scenario_id,run_label,cost_weight,emissions_weight,equity_weight,seed,iterations,run_id,iteration,current_objective,best_objective,accepted,event_case
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,28,-98.32073703480644,-98.32073703480644,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,29,-98.43476500016723,-98.43476500016723,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,30,-98.76888928472842,-98.76888928472842,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,31,-99.06230253451656,-99.06230253451656,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,32,-99.38565119794661,-99.38565119794661,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,33,-99.68348000051387,-99.68348000051387,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,34,-99.98243636906719,-99.98243636906719,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,35,-100.29804613954637,-100.29804613954637,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,36,-100.62780472727985,-100.62780472727985,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,37,-100.89698600246986,-100.89698600246986,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,38,-101.31389347261438,-101.31389347261438,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,39,-101.64529709428619,-101.64529709428619,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,40,-101.97656764727827,-101.97656764727827,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,41,-102.15740857217646,-102.15740857217646,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,42,-102.3845510186406,-102.3845510186406,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,43,-102.61292720777644,-102.61292720777644,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,44,-102.88174984834035,-102.88174984834035,True,improvement
